### based on codes available for free here: http://vag-codes.info/files/options/vag-option-codes.xlsx
### VAG option codes		http://vag-codes.info/
### 14288 option codes with description		
### 297 new codes		
### updated 13.01.2018		
### code	group	description
#38	MOT	4-cyl. turbo dies. eng. 1.6 l/92 kW (4V)TDI common rail ABT power enhancement
#7U	STR	Engine start and remote start feature without keyless locking and starting system
#AT	BRS	
#B1	BRS	ESC special vehicle 1
#B2	BRS	ESC special vehicle 2
#B3	BRS	ESC special vehicle 3
#B4	BRS	ESC special vehicle 4
#B5	BRS	ESC special vehicle 5
#B6	BRS	ESC special vehicle 6
#B7	BRS	ESC special vehicle 7
#B8	BRS	ASR application matched to special-purpose vehicle 1
#B9	BRS	ASR application matched to special-purpose vehicle 2
#BA	BRS	ESC special vehicle 8
#BB	BRS	ESC special vehicle 9
#BC	BRS	ESC special vehicle 10
#BD	BRS	ESC special vehicle 11
#BE	BRS	ESC special vehicle 12
#BF	BRS	ESC special vehicle 13
#BG	BRS	ESC special vehicle 14
#BH	BRS	ESC special vehicle 15
#BJ	BRS	ESC special vehicle 16
#BK	BRS	ESC special vehicle 17
#BL	BRS	ESC special vehicle 18
#BM	BRS	ESC special vehicle 19
#BN	BRS	ESC special vehicle 20
#BP	BRS	ESC special vehicle 21
#D0	AHV	Trailer hitch aftermarket equipment, removable and lockable
#D1	AHV	Trailer hitch aftermarket equipment, mechanically swiveling, manual
#D2	AHV	Trailer hitch aftermarket equipment, power-folding
#D3	AHV	Trailer hitch aftermarket equipment, USA
#D4	AHV	Trailer hitch aftermarket equipment, Australia
#D5	AHV	Trailer hitch aftermarket equipment, mechanically swiveling with reduced towing capacity
#D6	AHV	Trailer hitch aftermarket equipment, removable with reduced ventilation capacity
#D7	AHV	Trailer hitch aftermarket equipment, power-swiveling with reduced ventilationcapacity
#D8	AHV	Trailer hitch aftermarket equipment, rigid
#D9	AHV	Trailer hitch aftermarket equipment, power-swiveling with maneuvering system
#E1	AHV	Trailer hitch aftermarket equipment, electr. swiveling w/ reduced ventilationcapacity and maneuvering system
#E2	AHV	Trailer hitch aftermarket equipment, without trailer control module
#E3	AHV	Retrofitting of trailer hitch, with reduced ventilation capacity for Australia/New Zealand
#H1	REI	New coding of instrument cluster due to changed tires, new 245/75 R16
#H2	REI	New coding of instrument cluster due to changed tires, new 215/85 R16
#H3	REI	New coding of instrument cluster due to changed tires, new 285/75 R16
#I2	TKV	Recoding of 4I2 with activated auto-lock feature
#I3	TKV	Recoding of 4k3 with activated auto-lock feature
#J1	HES	Coding for rear spoiler fixed spoiler
#K1	FLS	Recoding 8K1 deactivation separate daytime running lights
#K3	FLS	Recoding 8K3 deactivation separate daytime running lights
#L1	ONL	Online Connectivity Unit deactivation without head unit coding
#L5	ONL	Online Connectivity Unit deactivation with head unit coding
#M9	ZUH	Retrofitting of fuel-fired parking heater with radio remote control
#N3	SWS	Reactivation of the rain sensor
#SK	SBR	LED tail lamp assembly as aftermarket equipment
#U2	STR	Aftermarket equipment remote start feature recoding of 7U2
#W3	CPD	Recoding of IW3
#X5	ESZ	Recoding GX5, decoding of the warning signal
#XI	ASE	Ext. mirror, auto-dimming, el. folding/ adjust., separately heated, w/ front pass. exterior mirror lowering function
#ZP	BAV	Disk brakes in front 15-inch " PC57-25/14 Jurid 200-FF
00A	UGH	Rear overhang, short
00B	UGH	Rear overhang, medium
00C	UGH	Rear overhang, long
01A	ZUG	Gross vehicle weight rating
01B	ZUG	Gross vehicle weight rating
01C	ZUG	Gross vehicle weight rating
01D	ZUG	Gross vehicle weight rating
01E	ZUG	Gross vehicle weight rating
01F	ZUG	Gross vehicle weight rating
02A	RST	Wheelbase
02B	RST	Wheelbase
02C	RST	Wheelbase
02D	RST	Wheelbase
02E	RST	Wheelbase
02F	RST	Wheelbase
02G	RST	Wheelbase
02H	RST	Wheelbase
02I	RST	Wheelbase
02J	RST	Wheelbase
04A	AGS	Basic
04B	AGS	Sports
04C	AGS	Design
04D	AGS	Good
04E	AGS	Better
04F	AGS	Best
04G	AGS	Allroad
04H	AGS	S line
04I	AGS	Design line
04J	AGS	Offroad line
04K	AGS	S
04L	AGS	RS
04M	AGS	Basic China
04N	AGS	Comfort
04P	AGS	Luxury
05A	SSP	Special specifications
05B	SSP	Special specifications
05C	SSP	Special specifications
05D	SSP	Special specifications
05E	SSP	Special specifications
05F	SSP	Special specifications
05G	SSP	Special specifications
05H	SSP	Special specifications
05I	SSP	Special specifications
05J	SSP	Special specifications
05Z	SSP	Without special specifications
0A1	TUE	2 doors
0A2	TUE	4 doors
0A3	TUE	4 doors
0AA	STV	Without front stabilizer
0AB	STV	Front stabilizer
0AC	STV	Front stabilizer
0AD	STV	Front stabilizer
0AE	STV	Front stabilizer
0AF	STV	Front stabilizer
0AG	STV	Front stabilizer
0AH	STV	Front stabilizer
0AJ	STV	Front stabilizer
0AK	STV	Front stabilizer
0AL	STV	Front stabilizer
0AM	STV	Front stabilizer
0AN	STV	Stabilizer, front
0AP	STV	Front stabilizer (AUDI TT/S3)
0AQ	STV	Front stabilizer
0AR	STV	Front stabilizer
0AS	STV	Front stabilizer
0AT	STV	Front stabilizer
0AU	STV	Stabilizer
0AV	STV	Stabilizer
0AW	STV	Stabilizer
0B0	RST	Wheelbase
0B1	RST	Wheelbase
0B2	RST	Wheelbase
0B3	RST	Wheelbase
0B4	RST	Wheelbase
0B5	RST	Wheelbase
0B6	RST	Wheelbase
0B7	RST	Wheelbase
0B8	RST	Wheelbase
0B9	RST	Wheelbase
0BA	STH	Without rear stabilizer
0BB	STH	Rear stabilizer
0BC	STH	Rear stabilizer
0BD	STH	Rear stabilizer
0BE	STH	Rear stabilizer
0BF	STH	Rear stabilizer
0BG	STH	Rear stabilizer
0BH	STH	Rear stabilizer
0BJ	STH	Rear stabilizer
0BK	STH	Rear stabilizer
0BL	STH	Rear stabilizer
0BM	STH	Rear stabilizer
0BN	STH	Rear stabilizer
0BP	STH	Rear stabilizer
0BQ	STH	Rear stabilizer
0BR	STH	Rear stabilizer (AUDI TT/S3)
0BS	STH	Rear stabilizer
0BT	STH	Rear stabilizer
0BU	STH	Rear stabilizer
0C0	COZ	Standard
0C1	COZ	87 g CO2 variant
0C2	COZ	Variant
0C6	COZ	CO2 variant
0C7	COZ	CO2 variant
0C8	COZ	CO2 variant
0C9	COZ	CO2 variant
0CA	AED	Vehicle class differentiation -605-
0CB	AED	Vehicle class differentiation 3U0
0CC	AED	Vehicle class differentiation 2E0
0CD	AED	Vehicle class differentiation 6H0
0CE	AED	Vehicle class differentiation 1J0
0CF	AED	Vehicle class differentiation 6X0
0CG	AED	Vehicle class differentiation 12E -
0CH	AED	Vehicle class differentiation 1U0
0CI	AED	Vehicle class differentiation -5KD-
0CJ	AED	Vehicle class differentiation 8L0
0CK	AED	Vehicle class differentiation 1M0
0CL	AED	Vehicle class differentiation 6Q0- for build status Europe
0CM	AED	Vehicle class differentiation 1JM
0CN	AED	Vehicle class differentiation 7D0
0CP	AED	Installation differentiation for build status of commercial vehicle supply scope (supplier)
0CQ	AED	Vehicle class differentiation -607-
0CR	AED	Vehicle class differentiation 33D
0CS	AED	Vehicle class differentiation 8E0
0CT	AED	Vehicle class differentiation -970-
0CU	AED	Vehicle class differentiation 1C0
0CV	AED	Vehicle class differentiation 8N0
0CW	AED	Vehicle class differentiation 6KE
0CX	AED	Vehicle class differentiation 6QE for build status South America
0CY	AED	Vehicle class differentiation 6L0
0CZ	AED	Vehicle class differentiation 3X0
0D0	TFA	Without cab doors
0D1	TFA	Cab doors
0D2	TFA	Reinforced cab doors
0D3	TFA	Driver door, reinforced (hinge)
0D4	TFA	Right cab door
0D5	TFA	Left cab door
0D6	TFA	Front passenger door, reinforced (hinge)
0DA	AED	Vehicle class differentiation for Taiwan
0DB	AED	Installation differentiation for build status of vehicle class B3 (VW Passat) -- powertrain components --
0DC	AED	Installation differentiation for build status of vehicle class A2 (VW Golf/ Jetta), -- powertrain components --
0DD	AED	Installation differentiation for build status of vehicle class A2 (VW Corrado) -- powertrain components --
0DE	AED	Installation differentiation for build status of vehicle class B5 (VW Passat)
0DF	AED	Vehicle class differentiation 6R0- for build status Europe
0DG	AED	Installation differentiation for build status of vehicle class A3 (VW Golf/ Vento/Variant), -powertrain components-
0DH	AED	Vehicle class differentiation 6N0
0DI	AED	Vehicle class differentiation -360-
0DJ	AED	Vehicle class differentiation -350-
0DK	AED	Installation differentiation for build status of vehicle class S3 (SEAT Toledo)-- powertrain components --
0DL	AED	Vehicle class differentiation 1E0
0DM	AED	Vehicle class differentiation 6K0
0DN	AED	Vehicle class differentiation -18A-
0DP	AED	Installation differentiation for build status of vehicle class B3 (VW Passat) -- powertrain components --
0DQ	AED	Installation differentiation for build status of vehicle class B (MPV) -- powertrain components --
0DR	AED	Installation differentiation for build status of vehicle class B (AUDI) -- powertrain components --
0DS	AED	Vehicle class differentiation 4B0
0DT	AED	Installation differentiation for build status of vehicle class C (AUDI) -- powertrain components --
0DU	AED	Installation differentiation for build status of vehicle class D (AUDI) -- powertrain components --
0DV	AED	Vehicle class differentiation 1JS
0DW	AED	Vehicle class differentiation 1JE
0DX	AED	Vehicle class differentiation 5X0
0DY	AED	Installation differentiation for build status of vehicle class B5 (AUDI) -- powertrain components --
0DZ	AED	Installation differentiation for build status of model 029 (Terra)
0E0	RST	Wheelbase for special purpose vehicles
0E1	RST	Short wheelbase
